author,title,description,link,pubDate
U-System,Требуется «Программист Python / Python developer» (от 150 000 ₽),"Компания «U-System» ищет хорошего специалиста на вакансию «Программист Python / Python developer». От 150 000 ₽. Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python.",https://career.habr.com/vacancies/1000117880,"Mon, 16 Jan 2023 15:42:09 +0300"
Нуматех,Требуется «Программист Python/Python Developer» (от 150 000 ₽),"Компания «Нуматех» ищет хорошего специалиста на вакансию «Программист Python/Python Developer». От 150 000 ₽. Можно удалённо. Требуемые навыки: #middle, #Python, #Django.",https://career.habr.com/vacancies/1000117909,"Mon, 16 Jan 2023 17:28:54 +0300"
Банк ВТБ,Требуется «Python разработчик»,Компания «Банк ВТБ» ищет хорошего специалиста на вакансию «Python разработчик». Можно удалённо. Требуемые навыки: #Python.,https://career.habr.com/vacancies/1000111721,"Mon, 23 Jan 2023 17:27:45 +0300"
Сбер,Требуется «Python-разработчик» (Сочи),"Компания «Сбер» ищет хорошего специалиста на вакансию «Python-разработчик». Сочи (Россия). Полный рабочий день. Требуемые навыки: #middle, #Python, #JavaScript.",https://career.habr.com/vacancies/1000117794,"Mon, 30 Jan 2023 10:19:27 +0300"
Иннотех,Требуется «Разработчик Python» (Москва),"Компания «Иннотех» ищет хорошего специалиста на вакансию «Разработчик Python». Москва (Россия). Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python, #ApacheHadoop.",https://career.habr.com/vacancies/1000113778,"Sat, 28 Jan 2023 08:27:30 +0300"
Лаборатория Касперского,Требуется «SDET (Python)» (Москва),"Компания «Лаборатория Касперского» ищет хорошего специалиста на вакансию «SDET (Python)». Москва (Россия). Требуемые навыки: #Python, #Linux.",https://career.habr.com/vacancies/1000118743,"Mon, 30 Jan 2023 14:07:23 +0300"
Онлайн-кинотеатр Иви,Требуется «Python-разработчик» (Москва),"Компания «Онлайн-кинотеатр Иви» ищет хорошего специалиста на вакансию «Python-разработчик». Москва (Россия). Полный рабочий день. Требуемые навыки: #senior, #Python, #Linux.",https://career.habr.com/vacancies/1000102709,"Thu, 19 Jan 2023 14:37:02 +0300"
Промэффект,Требуется «Python разработчик» (от 200 000 до 300 000 ₽),"Компания «Промэффект» ищет хорошего специалиста на вакансию «Python разработчик». От 200 000 ₽ до 300 000 ₽. Неполный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python, #SOAP, #RESTfulAPI.",https://career.habr.com/vacancies/1000119317,"Tue, 31 Jan 2023 22:56:36 +0300"
КБ «Хлынов»,Требуется «Разработчик python» (от 100 000 ₽),"Компания «КБ «Хлынов»» ищет хорошего специалиста на вакансию «Разработчик python». От 100 000 ₽. Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python, #SQL, #Git.",https://career.habr.com/vacancies/1000118171,"Wed, 18 Jan 2023 09:48:13 +0300"
Aston (ex. Andersen),Требуется «Python Developer»,"Компания «Aston (ex. Andersen)» ищет хорошего специалиста на вакансию «Python Developer». Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python, #FastAPI, #PostgreSQL, #Docker.",https://career.habr.com/vacancies/1000118011,"Tue, 31 Jan 2023 12:10:29 +0300"
ГК Астра,Требуется «Разработчик Python»,"Компания «ГК Астра» ищет хорошего специалиста на вакансию «Разработчик Python». Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python, #PHP, #Linux.",https://career.habr.com/vacancies/1000118959,"Thu, 26 Jan 2023 16:27:48 +0300"
БЮРО 1440,Требуется «Python developer» (Москва),"Компания «БЮРО 1440» ищет хорошего специалиста на вакансию «Python developer». Москва (Россия). Полный рабочий день. Требуемые навыки: #middle, #Python, #Jenkins, #PyQT.",https://career.habr.com/vacancies/1000111477,"Tue, 31 Jan 2023 11:20:58 +0300"
Триафлай,"Требуется «python разработчик» (Москва, до 250 000 ₽)","Компания «Триафлай» ищет хорошего специалиста на вакансию «python разработчик». Москва (Россия). До 250 000 ₽. Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python, #PostgreSQL, #Django, #RabbitMQ.",https://career.habr.com/vacancies/1000117892,"Mon, 16 Jan 2023 16:35:44 +0300"
Aston (ex. Andersen),Требуется «Python Developer» (Москва),"Компания «Aston (ex. Andersen)» ищет хорошего специалиста на вакансию «Python Developer». Москва (Россия), Санкт-Петербург (Россия), Казань (Россия). Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python, #FastAPI, #PostgreSQL, #Docker.",https://career.habr.com/vacancies/1000118012,"Tue, 31 Jan 2023 12:10:29 +0300"
Sibdev,Требуется «Python-разработчик» (от 80 000 до 120 000 ₽),"Компания «Sibdev» ищет хорошего специалиста на вакансию «Python-разработчик». От 80 000 ₽ до 120 000 ₽. Полный рабочий день. Можно удалённо. Требуемые навыки: #junior, #Python, #Django, #Celery, #Redis.",https://career.habr.com/vacancies/1000118105,"Tue, 17 Jan 2023 16:17:22 +0300"
IBS,Требуется «QA Auto (Python)»,"Компания «IBS» ищет хорошего специалиста на вакансию «QA Auto (Python)». Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python.",https://career.habr.com/vacancies/1000115047,"Mon, 30 Jan 2023 15:27:17 +0300"
СберМаркет Tech,Требуется «Senior Python developer»,"Компания «СберМаркет Tech» ищет хорошего специалиста на вакансию «Senior Python developer». Можно удалённо. Требуемые навыки: #senior, #Python.",https://career.habr.com/vacancies/1000119308,"Tue, 31 Jan 2023 19:22:26 +0300"
Aston (ex. Andersen),Требуется «Python Developer» (Полоцк),"Компания «Aston (ex. Andersen)» ищет хорошего специалиста на вакансию «Python Developer». Минск (Беларусь), Витебск (Беларусь), Полоцк (Беларусь). Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python, #Docker, #FastAPI, #PostgreSQL.",https://career.habr.com/vacancies/1000118020,"Tue, 31 Jan 2023 12:31:15 +0300"
InfoWatch,Требуется «Senior Python developer»,"Компания «InfoWatch» ищет хорошего специалиста на вакансию «Senior Python developer». Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python.",https://career.habr.com/vacancies/1000110380,"Mon, 30 Jan 2023 01:27:19 +0300"
RAVVI,"Требуется «Python Developer» (Санкт-Петербург, от 180 000 ₽)","Компания «RAVVI» ищет хорошего специалиста на вакансию «Python Developer». Санкт-Петербург (Россия). От 180 000 ₽. Полный рабочий день. Требуемые навыки: #middle, #Python, #Компьютерноезрение.",https://career.habr.com/vacancies/1000119303,"Tue, 31 Jan 2023 18:16:21 +0300"
БЮРО 1440,Требуется «Python developer/QA » (Москва),"Компания «БЮРО 1440» ищет хорошего специалиста на вакансию «Python developer/QA ». Москва (Россия). Полный рабочий день. Требуемые навыки: #middle, #Python.",https://career.habr.com/vacancies/1000118083,"Tue, 17 Jan 2023 15:13:33 +0300"
Первая Грузовая Компания,Требуется «Team Lead разработки (Python)» (от 250 000 ₽),"Компания «Первая Грузовая Компания» ищет хорошего специалиста на вакансию «Team Lead разработки (Python)». От 250 000 ₽. Полный рабочий день. Можно удалённо. Требуемые навыки: #lead, #Python.",https://career.habr.com/vacancies/1000115784,"Wed, 01 Feb 2023 15:13:42 +0300"
Сбер,Требуется «Python разработчик (senior)» (Москва),"Компания «Сбер» ищет хорошего специалиста на вакансию «Python разработчик (senior)». Москва (Россия). Полный рабочий день. Требуемые навыки: #senior, #Python.",https://career.habr.com/vacancies/1000116519,"Thu, 26 Jan 2023 15:27:27 +0300"
ГК Eqvanta,Требуется «Разработчик python (Senior/Lead)»,"Компания «ГК Eqvanta» ищет хорошего специалиста на вакансию «Разработчик python (Senior/Lead)». Полный рабочий день. Можно удалённо. Требуемые навыки: #senior, #Python.",https://career.habr.com/vacancies/1000118938,"Wed, 25 Jan 2023 16:41:32 +0300"
Иннотех,Требуется «QA Automation Engineer (Python)»,"Компания «Иннотех» ищет хорошего специалиста на вакансию «QA Automation Engineer (Python)». Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python.",https://career.habr.com/vacancies/1000112233,"Tue, 31 Jan 2023 12:49:00 +0300"
